
> Task :compileJava

> Task :processResources NO-SOURCE
> Task :classes

> Task :run
algorithmName,arraySize,arrayType,shufflePercentage,isInverted,timeTaken
assignment1.BubbleSortUntilNoChange@330bedb4,47669,Integer,75,false,15792945391
assignment1.BubbleSortWhileNeeded@2503dbd3,47669,Integer,75,false,9981797709
assignment1.BubbleSortPassPerItem@14dad5dc,14885,Integer,100,true,1121040623
assignment1.BubbleSortUntilNoChange@330bedb4,14885,Integer,100,true,1221130909
assignment1.BubbleSortWhileNeeded@2503dbd3,14885,Integer,100,true,727898533
assignment1.BubbleSortPassPerItem@14dad5dc,14885,Integer,25,false,1155666604
assignment1.BubbleSortUntilNoChange@330bedb4,14885,Integer,25,false,1293159384
assignment1.BubbleSortWhileNeeded@2503dbd3,14885,Integer,25,false,771415126
assignment1.BubbleSortPassPerItem@14dad5dc,14885,Integer,50,false,1205589993
assignment1.BubbleSortUntilNoChange@330bedb4,14885,Integer,50,false,1338782589
assignment1.BubbleSortWhileNeeded@2503dbd3,14885,Integer,50,false,814278860
assignment1.BubbleSortPassPerItem@14dad5dc,14885,Integer,75,false,1278866320
assignment1.BubbleSortUntilNoChange@330bedb4,14885,Integer,75,false,1411008994
assignment1.BubbleSortWhileNeeded@2503dbd3,14885,Integer,75,false,883348130
assignment1.BubbleSortPassPerItem@14dad5dc,15641,Integer,100,true,1216369873
assignment1.BubbleSortUntilNoChange@330bedb4,15641,Integer,100,true,1322128193
assignment1.BubbleSortWhileNeeded@2503dbd3,15641,Integer,100,true,760658125
assignment1.BubbleSortPassPerItem@14dad5dc,15641,Integer,25,false,1273771757
assignment1.BubbleSortUntilNoChange@330bedb4,15641,Integer,25,false,1460609151
assignment1.BubbleSortWhileNeeded@2503dbd3,15641,Integer,25,false,852316193
assignment1.BubbleSortPassPerItem@14dad5dc,15641,Integer,50,false,1342462073
assignment1.BubbleSortUntilNoChange@330bedb4,15641,Integer,50,false,1533901990
assignment1.BubbleSortWhileNeeded@2503dbd3,15641,Integer,50,false,897432718
assignment1.BubbleSortPassPerItem@14dad5dc,15641,Integer,75,false,1396978999
assignment1.BubbleSortUntilNoChange@330bedb4,15641,Integer,75,false,1576464680
assignment1.BubbleSortWhileNeeded@2503dbd3,15641,Integer,75,false,974232169
assignment1.BubbleSortPassPerItem@14dad5dc,34130,Integer,100,true,6083067502
assignment1.BubbleSortUntilNoChange@330bedb4,34130,Integer,100,true,6371644816
assignment1.BubbleSortWhileNeeded@2503dbd3,34130,Integer,100,true,3645481692
assignment1.BubbleSortPassPerItem@14dad5dc,34130,Integer,25,false,6443476868
assignment1.BubbleSortUntilNoChange@330bedb4,34130,Integer,25,false,7013797773
assignment1.BubbleSortWhileNeeded@2503dbd3,34130,Integer,25,false,4127585234
assignment1.BubbleSortPassPerItem@14dad5dc,34130,Integer,50,false,6733628238
assignment1.BubbleSortUntilNoChange@330bedb4,34130,Integer,50,false,7295924099
assignment1.BubbleSortWhileNeeded@2503dbd3,34130,Integer,50,false,4439656145
assignment1.BubbleSortPassPerItem@14dad5dc,34130,Integer,75,false,7195855766
assignment1.BubbleSortUntilNoChange@330bedb4,34130,Integer,75,false,7804438579
assignment1.BubbleSortWhileNeeded@2503dbd3,34130,Integer,75,false,4911278305
assignment1.BubbleSortPassPerItem@14dad5dc,48496,Integer,100,true,12869125433
assignment1.BubbleSortUntilNoChange@330bedb4,48496,Integer,100,true,13507410962
assignment1.BubbleSortWhileNeeded@2503dbd3,48496,Integer,100,true,8198811027
assignment1.BubbleSortPassPerItem@14dad5dc,48496,Integer,25,false,13288279967
assignment1.BubbleSortUntilNoChange@330bedb4,48496,Integer,25,false,14453603752
assignment1.BubbleSortWhileNeeded@2503dbd3,48496,Integer,25,false,8667380004
assignment1.BubbleSortPassPerItem@14dad5dc,48496,Integer,50,false,13847469132
assignment1.BubbleSortUntilNoChange@330bedb4,48496,Integer,50,false,15045121735
assignment1.BubbleSortWhileNeeded@2503dbd3,48496,Integer,50,false,9221973770
assignment1.BubbleSortPassPerItem@14dad5dc,48496,Integer,75,false,14816179785
assignment1.BubbleSortUntilNoChange@330bedb4,48496,Integer,75,false,16144281447
assignment1.BubbleSortWhileNeeded@2503dbd3,48496,Integer,75,false,10234671910
assignment1.BubbleSortPassPerItem@14dad5dc,79274,Integer,100,true,34661238389
assignment1.BubbleSortUntilNoChange@330bedb4,79274,Integer,100,true,36365251428
assignment1.BubbleSortWhileNeeded@2503dbd3,79274,Integer,100,true,22042812919
assignment1.BubbleSortPassPerItem@14dad5dc,79274,Integer,25,false,36037674652
assignment1.BubbleSortUntilNoChange@330bedb4,79274,Integer,25,false,38876307308
assignment1.BubbleSortWhileNeeded@2503dbd3,79274,Integer,25,false,24026312371
assignment1.BubbleSortPassPerItem@14dad5dc,79274,Integer,50,false,37599677319
assignment1.BubbleSortUntilNoChange@330bedb4,79274,Integer,50,false,41689616884
